18332	
	(-1.375822415e-035,1.834048962e-036)	(4.266185253e-035,-1.489583302e-035)	(-2.345978036e-035,3.330467504e-036)	(4.05238448e-035,-1.342752179e-035)	(-8.551474018e-005,3.011795534e-005)
	(-0.001293366436,0.0004641828211)	(-7.607219798e-005,2.687858977e-005)	(-0.001495740872,0.000539919224)	(-4.952589624e-036,5.899964038e-037)	(2.021601964e-035,-7.078988755e-036)
	(0.001098695793,-0.0001676661279)	(-8.41753929e-036,1.288275076e-036)	(3.800259354e-035,-1.33656701e-035)	(-0.0001874148266,6.61257684e-005)	(-0.002675413026,0.0009809660514)
	(-6.893720913e-005,2.438599489e-005)	(-0.001488996248,0.0005384971366)	(-2.990381505e-036,5.048915322e-037)	(1.942253443e-035,-6.852941485e-036)	(0.0007868008843,-0.0001689566045)
	(-4.234045727e-036,9.496557241e-037)	(3.815296188e-035,-1.352293024e-035)	(-6.596636843e-005,2.333158877e-005)	(-0.00163313209,0.0005926951483)	(-3.80388868e-033,1.418540304e-033)
	(-0.001940657335,0.0007078508356)	(-1.084440336e-035,3.858953523e-036)	(1.216240955e-035,-4.311989822e-036)	(0.000301289496,-0.0001054594724)	(-4.781902979e-005,1.690093967e-005)
	(-0.001662381038,0.0006041688085)	(-2.357094775e-035,2.987894565e-036)	(3.00569301e-035,-8.285797144e-036)	(0.006113153239,-0.001034316736)	(-0.0002657308452,8.449281072e-005)
	(-0.0008821968255,0.0002844668422)	(-4.674201118e-035,6.264296193e-036)	(5.367490004e-035,-1.508981752e-035)	(-5.120177418e-035,6.812330133e-036)	(5.895481822e-035,-1.555354093e-035)
	(-3.985073075e-035,5.549841506e-036)	(5.31491559e-035,-1.64020149e-035)	(-1.652259707e-035,2.313113675e-036)	(2.380924552e-035,-7.454630604e-036)	(0.003923359239,-0.0006910707445)
	(-0.0002045071877,6.991296973e-005)	(-0.001142419289,0.0003969899082)	(-0.0002149718056,7.300942339e-005)	(-0.001136208226,0.0003921974953)	(-0.0001858261307,6.257886746e-005)
	(-0.0009071849841,0.0003096430853)	(-2.831460169e-035,4.137215051e-036)	(4.241115937e-035,-1.345017209e-035)	(-1.254147634e-035,1.729382111e-036)	(2.25357961e-035,-7.351356275e-036)
	(0.003415215735,-0.0006241511362)	(-0.0001831054207,6.299669428e-005)	(-0.001134678388,0.00039686116)	(-0.0003086499388,0.0001017386605)	(-0.001240530226,0.0004166258958)
	(-2.197660428e-035,2.943684563e-036)	(2.683433065e-035,-7.671414639e-036)	(0.005328871902,-0.0009038825645)	(-4.300834932e-035,6.043554176e-036)	(5.314313135e-035,-1.545749269e-035)
	(-0.0003229986597,0.0001053480581)	(-0.001239356286,0.0004119294718)	(-0.000237860893,7.652751012e-005)	(-0.0008486198049,0.0002766343366)	(-2.01874014e-035,2.705022889e-036)
	(2.855211894e-035,-8.631819965e-036)	(0.004784168952,-0.000847439657)	(-0.0002110215273,7.037835379e-005)	(-0.0009309020261,0.0003150129813)	(-0.0003906202804,0.0001335763476)
	(-0.002166637381,0.0007648938094)	(-0.0003201634604,0.0001128028318)	(-0.003672580776,0.001365781537)	(-0.0001783340636,6.230185585e-005)	(-0.001525935481,0.0005446810449)
	(-0.0001180636449,4.147141281e-005)	(-0.001331522853,0.0004767242563)	(-2.246044357e-035,3.38353576e-036)	(4.662935274e-035,-1.574398509e-035)	(-0.0001589300018,5.49652229e-005)
	(-0.001109466071,0.0003899491596)	(-8.739771416e-036,1.214862199e-036)	(2.493542878e-035,-8.599833395e-036)	(0.002031033015,-0.0003770514432)	(-0.0001995778953,6.934503061e-005)
	(-0.001523175586,0.0005408563179)	(-1.137444537e-035,1.596470185e-036)	(2.192320691e-035,-7.32323976e-036)	(0.002677240838,-0.0004765265952)	(-0.0003105575439,0.0001085991945)
	(-0.002682532491,0.000975238541)	(-0.0002267035238,7.971741772e-005)	(-0.002514807344,0.0009165695629)	(0.001972806516,-0.0003491775893)	(-0.0003714658333,0.0001302475258)
	(-0.003426801379,0.001263577085)	(-0.0003547188279,0.0001220905542)	(-0.002164521515,0.0007687702639)	(0.003461154457,-0.000609644842)	(-0.0005500767069,0.0001886538653)
	(-0.00311176362,0.001118106696)	(-0.0003794478204,0.0001312662514)	(-0.002527337244,0.0009069611761)	(-0.0004693019752,0.0001649993598)	(-0.004481009549,0.00168543716)
	(-0.0005771573812,0.0002031081417)	(-0.005330937342,0.002037696526)	(-0.0003466775262,0.0001229566898)	(-0.00521672418,0.002003522308)	(-0.0002332679909,8.272721304e-005)
	(-0.004407772811,0.00166986825)	(-0.0002664171055,9.419035537e-005)	(-0.003818579124,0.001428131553)	(-0.0001800006471,6.403102427e-005)	(-0.004510807491,0.001714342208)
	(-0.0001353762247,4.797797267e-005)	(-0.002967274234,0.001097976757)	(-6.151573172e-005,2.184080016e-005)	(-0.003311029872,0.001234262305)	(-0.0003975136316,0.0001403434823)
	(-0.004702819324,0.001783107418)	(0.001814226714,-0.0003162613099)	(-0.0001573799076,5.573885135e-005)	(-0.002852116786,0.001051605713)	(0.001242367376,-0.0002193881913)
