18332	
	(-5.378111855e-035,6.760688644e-036)	(2.601219025e-034,1.2943343e-035)	(-9.807824645e-035,8.90026648e-036)	(2.57060818e-034,7.932789636e-036)	(-0.0006830686499,-2.567786939e-005)
	(-0.009628229051,-0.0005209461055)	(-0.0006093902435,-2.317336291e-005)	(-0.01103791329,-0.0006317011173)	(-1.821918261e-035,2.703062285e-036)	(1.227458357e-034,6.27705824e-036)
	(0.004384395997,-0.0004692749852)	(-3.424852734e-035,3.69791364e-036)	(2.281709276e-034,1.235907142e-035)	(-0.001615479778,-3.889387283e-005)	(-0.0201164805,-0.001159586297)
	(-0.000539873652,-2.288231208e-005)	(-0.01091200407,-0.0006441577283)	(-1.224377372e-035,1.121282851e-036)	(1.167654889e-034,6.387843245e-036)	(0.003579267199,-0.000160595334)
	(-2.035109039e-035,7.795333116e-037)	(2.275369045e-034,1.299313266e-035)	(-0.0005092513157,-2.301670859e-005)	(-0.01192196987,-0.0007232908545)	(-2.330726413e-032,-1.556227316e-033)
	(-0.01413975169,-0.0008825853587)	(-6.498812203e-035,-3.803506271e-036)	(7.312965996e-035,4.07407507e-036)	(0.001805187151,9.263452483e-005)	(-0.0003642420181,-1.722829426e-005)
	(-0.01210327026,-0.000744529439)	(-1.143408979e-034,2.982152665e-036)	(2.104303611e-034,-4.183187363e-036)	(0.03338073146,-0.0008023971424)	(-0.002490599578,7.943001578e-005)
	(-0.008128282701,0.0001856474057)	(-2.265090251e-034,7.906826141e-036)	(3.709110456e-034,-5.094138688e-036)	(-2.601757234e-034,4.937803372e-036)	(4.125122278e-034,-1.01805653e-035)
	(-1.777666567e-034,1.140147685e-035)	(3.512518575e-034,3.257786229e-036)	(-7.177041053e-035,5.130519275e-036)	(1.551302102e-034,2.219741456e-036)	(0.01875155777,-0.0008932377924)
	(-0.001729071125,-2.822779895e-005)	(-0.009298528572,-0.0002622459855)	(-0.001842790675,-1.998985064e-005)	(-0.009389765166,-0.0002165994453)	(-0.001604600699,-1.195965658e-005)
	(-0.007620205008,-0.0001295594728)	(-1.235545115e-034,9.227859116e-036)	(2.72576295e-034,5.289561356e-036)	(-5.228812792e-035,4.550049249e-036)	(1.446107449e-034,3.616154656e-036)
	(0.01601748349,-0.0008281777146)	(-0.001527361576,-3.288756197e-005)	(-0.009085763499,-0.0003030494994)	(-0.002788706974,3.305481197e-005)	(-0.01087162826,-1.071601692e-005)
	(-1.029376614e-034,4.082397855e-036)	(1.829631513e-034,-1.797172252e-036)	(0.0275078688,-0.0008602712193)	(-2.017822459e-034,9.624352159e-036)	(3.569123308e-034,-1.289363718e-036)
	(-0.002957791813,5.680857128e-005)	(-0.01104092405,7.054357986e-005)	(-0.002197933931,5.217541337e-005)	(-0.00770166048,0.000115023418)	(-9.029374027e-035,5.096969651e-036)
	(1.914328353e-034,3.989437065e-037)	(0.02404842681,-0.0009086067694)	(-0.001856344192,-1.463651327e-006)	(-0.00797440244,-8.038427614e-005)	(-0.003442487566,-1.597027908e-005)
