21916	
	(-0.04300106271,0)	(0.01665456986,0)	(0,-0.04762448859)	(-0.04300959187,0)	(0.008498843405,0)
	(0,-0.03728767851)	(-0.0372436344,0)	(0.01301607236,0)	(0,-0.03790128768)	(-0.0542088396,0)
	(0.005687152478,0)	(0,-0.04550911115)	(-0.05861721991,0)	(0.003930994538,0)	(0,-0.05008432084)
	(-0.06095662823,0)	(0.007804859716,0)	(0,-0.05156863756)	(-0.0651627905,0)	(0.01404180172,0)
	(0,-0.05840787241)	(-0.05354206653,0)	(0.01669033537,0)	(0,-0.05360023603)	(-0.05076227265,0)
	(0.01178913818,0)	(0,-0.04574488481)	(0.3510729021,0)	(-0.06747365515,0)	(0.01834160929,0)
	(0,-0.06432219103)	(-0.07341560778,0)	(0.01030438358,0)	(0,-0.06268952709)	(1.032908395e-034,0)
	(1.017265611e-033,0)	(0,8.954121587e-035)	(-0.0372228451,0)	(0.001173642425,0)	(0,-0.03311856996)
	(-0.0530257756,0)	(0.002416013056,0)	(0,-0.04881650877)	(-0.06212351642,0)	(0.00362140484,0)
	(0,-0.05575016557)	(-0.06891879671,0)	(0.006481670024,0)	(0,-0.05901465054)	(0.3369671662,0)
	(-0.07124540904,0)	(0.005377219515,0)	(0,-0.06346128771)	(-0.07966540676,0)	(0.007544931444,0)
	(0,-0.07072767781)	(-0.07942322839,0)	(0.00924968007,0)	(0,-0.06835664898)	(-0.06487834005,0)
	(0.004353944057,0)	(0,-0.06224662059)	(-0.07749118532,0)	(0.006610453944,0)	(0,-0.07450052851)
	(-0.08047129609,0)	(0.007243422444,0)	(0,-0.07460770847)	(-0.07290664166,0)	(0.005667372684,0)
	(0,-0.0681758002)	(0.3217207587,0)	(1.886385933e-035,0)	(7.541253865e-035,0)	(0,7.891195241e-035)
	(0.001601386188,0)	(-4.893567275e-036,0)	(0.005145421017,0)	(0,0.002407561074)	(-1.470008345e-035,0)
	(-2.338210572e-034,0)	(0,-6.365654896e-035)	(-0.02774304043,0)	(0.0007174027699,0)	(0,-0.02837573567)
	(-0.02953062011,0)	(0.0007222698341,0)	(0,-0.02889108596)	(1.948903035e-034,0)	(2.354181769e-033,0)
	(0,1.973993759e-034)	(6.821728592e-035,0)	(6.471436017e-034,0)	(0,5.789921232e-035)	(0.3269016067,0)
